index,barcode,row,col,imagerow,imagecol,is_center
649,25x21,25,21,1325,1105,0
650,8x37,8,37,396,1977,1
651,40x36,40,36,2144,1923,0
652,23x34,23,34,1215,1814,0
653,19x32,19,32,997,1705,0
654,34x15,34,15,1816,777,1
655,20x46,20,46,1052,2468,0
656,22x31,22,31,1161,1650,1
657,31x49,31,49,1652,2632,0
658,36x5,36,5,1926,232,1
659,31x41,31,41,1652,2195,0
660,20x33,20,33,1052,1759,1
661,33x41,33,41,1762,2195,0
662,14x35,14,35,724,1868,1
663,5x36,5,36,232,1923,0
664,8x43,8,43,396,2305,1
665,40x11,40,11,2144,559,1
666,48x9,48,9,2581,450,1
667,33x30,33,30,1762,1595,0
668,18x32,18,32,942,1705,0
669,10x45,10,45,505,2414,1
670,27x41,27,41,1434,2195,0
671,5x33,5,33,232,1759,0
672,29x21,29,21,1543,1105,0
673,28x8,28,8,1489,395,0
674,32x9,32,9,1707,450,1
675,31x45,31,45,1652,2414,0
676,46x41,46,41,2472,2195,0
677,20x8,20,8,1052,395,0
678,23x11,23,11,1215,559,0
679,2x19,2,19,68,995,1
680,45x45,45,45,2417,2414,0
681,43x14,43,14,2308,723,0
682,31x9,31,9,1652,450,0
683,6x36,6,36,287,1923,0
684,5x24,5,24,232,1268,0
685,3x35,3,35,123,1868,0
686,31x12,31,12,1652,614,0
687,23x28,23,28,1215,1486,0
688,6x39,6,39,287,2086,1
689,28x27,28,27,1489,1432,1
690,28x31,28,31,1489,1650,1
691,16x35,16,35,833,1868,1
692,37x24,37,24,1980,1268,0
693,14x37,14,37,724,1977,1
694,48x34,48,34,2581,1814,0
695,20x36,20,36,1052,1923,0
696,44x25,44,25,2363,1323,0
697,33x5,33,5,1762,232,0
698,40x38,40,38,2144,2032,0
699,42x29,42,29,2253,1541,1
700,38x39,38,39,2035,2086,1
701,37x26,37,26,1980,1377,0
702,30x34,30,34,1598,1814,0
703,30x45,30,45,1598,2414,1
704,44x20,44,20,2363,1050,0
705,43x11,43,11,2308,559,0
706,15x44,15,44,778,2359,0
707,36x19,36,19,1926,995,1
708,41x2,41,2,2199,68,0
709,26x18,26,18,1379,941,0
710,25x11,25,11,1325,559,0
711,8x47,8,47,396,2523,1
712,17x19,17,19,888,995,0
713,31x48,31,48,1652,2577,0
714,27x16,27,16,1434,832,0
715,26x33,26,33,1379,1759,1
716,36x39,36,39,1926,2086,1
