"","TMEM132D","CPNE5","RNA18S5","NMNAT1","ALG5","RNA28S5","RPL13","CCBL1","RPS9","MEIS1.AS1"
"34x19",0,0,4,0,0,2,0,0,0,0
"25x7",1,2,6,2,0,0,0,0,0,0
"24x44",0,0,3,0,0,1,0,0,0,0
"23x14",0,0,10,0,1,4,0,0,0,0
"42x20",0,0,8,0,0,0,0,0,0,0
"35x30",0,1,40,1,0,4,0,0,1,0
"41x8",0,0,4,1,0,0,0,0,0,0
"22x18",0,0,4,0,0,1,0,0,0,0
"24x38",0,0,18,0,0,1,1,0,0,0
"28x37",0,0,80,0,0,2,1,0,2,0
"14x29",0,1,9,0,0,4,0,0,0,0
"18x38",0,0,203,0,1,14,9,0,1,0
"33x23",0,0,8,0,0,0,0,0,0,0
"10x35",0,0,14,1,0,8,1,0,0,0
"41x31",0,0,7,0,0,7,0,0,0,0
"6x16",3,2,1,0,0,0,0,0,0,0
"47x11",0,0,6,0,0,0,0,0,0,0
"31x25",0,0,8,0,0,1,0,0,0,0
"35x39",0,0,50,0,0,11,5,0,4,0
"10x27",0,0,5,0,0,1,0,0,0,0
"27x42",0,0,248,1,0,37,3,0,2,0
"17x47",0,0,10,0,0,3,0,0,1,0
"9x18",1,0,0,0,0,0,0,0,0,0
"43x7",1,0,3,0,0,0,0,0,0,0
"44x14",0,0,5,0,0,2,0,0,0,0
"19x10",3,0,2,0,0,0,0,0,0,0
"40x19",0,0,5,0,0,1,0,0,0,0
"24x22",0,0,4,0,0,0,0,0,0,0
"8x17",0,0,0,1,0,0,0,0,0,0
"29x20",0,0,7,0,0,3,0,0,0,0
"44x41",0,0,10,0,0,0,0,0,0,0
"41x26",0,0,0,0,0,0,0,0,0,0
"25x6",1,1,7,0,0,0,1,0,0,0
"4x17",3,0,0,0,0,0,0,0,0,0
"35x23",0,0,14,0,0,1,0,0,1,0
"15x43",0,0,4,0,0,2,2,0,0,0
"32x27",0,0,7,0,0,2,1,0,0,0
"37x40",0,0,36,0,0,4,1,0,0,0
